	YM1	YM2	YM3	YM4	YM5	YF1	YF2	YF3	YF4	YF5	OM1	OM2	OM3	OM4	OM5	OF1	OF2	OF3	OF4	OF5
CDC1	0.033688939	0.163979229	0.046173381	0.043808411	0.201294033	0.127388535	0.060313631	0.01116196	0.105658605	0.071309722	0.09354537	0.033613445	0.049009998	0.125944584	0.033281562	0.053092647	0.051800052	0.011206993	0.072090628	0.024375381
CDC2	1.358787198	2.391363761	1.131247836	1.09521028	2.084831057	0.955414013	0.723763571	0.636231722	1.197464193	1.972902306	0.935453695	1.201680672	1.225249951	1.920654912	1.408919459	1.141491903	1.243201243	1.042250364	1.421215242	1.072516758
PDC	0.078607524	0.396283137	0.24241025	0.262850467	0.603882099	0.229299363	0.633293124	0.267887041	0.281756281	0.463513192	0.280636109	0.226890756	0.303861988	0.110201511	0.521411138	0.345102203	0.401450401	0.369830774	0.144181256	0.463132236
pre-DC	0.011229646	0.040994807	0.011543345	0.058411215	0.086268871	0.025477707	0.015078408	0.01116196	0.02347969	0.035654861	0.026727248	0.025210084	0.029405999	0.047229219	0.033281562	0.013273162	0	0	0.041194645	0.01218769
NBC	4.188658057	6.108226291	5.263765439	3.855140187	4.529115744	4.012738854	3.332328106	2.87978569	6.550833529	9.115759449	4.717359348	7.159663866	6.038031758	4.722921914	2.252052363	11.04327051	4.105154105	3.126751093	1.338825953	4.253503961
MBC	2.683885458	7.269745832	5.182962022	2.613901869	2.358015816	4.229299363	4.659227986	7.389217547	3.979807467	4.932255764	3.220633436	7.655462185	2.783767889	5.273929471	1.375637897	3.90230953	2.007252007	2.342261571	4.984552008	2.327848873
PC	0.190903987	0.218638972	0.277040286	0.175233645	0.30194105	0.280254777	0.768998794	0.200915281	1.420521249	1.105300689	0.50781772	0.722689076	0.156831994	0.299118388	0.421566452	0.504380143	0.880600881	0.493107699	0.8753862	0.609384522
ABC	0.235822572	0.232303908	0.103890107	0.759345794	0.129403307	0.140127389	0.120627262	0.312534881	0.16435783	0.225814119	0.34745423	0.386554622	0.578317977	0.330604534	0.033281562	0.968940802	0.699300699	0.302588815	0.360453141	0.219378428
CD14	7.6698484	10.71330965	9.580976567	10.30957944	14.23436377	9.974522293	8.866103739	8.840272352	14.8861235	13.67958165	10.24989977	10.83193277	13.13467947	19.26952141	20.84535168	10.29997345	15.31986532	12.36131346	9.866117405	15.9293114
CD16	0.685008422	2.691992348	1.442918158	2.044392523	1.62473041	2.127388535	0.678528347	1.495702645	2.981920639	2.63845971	3.461178672	3.924369748	4.891197804	2.534634761	1.664078101	3.198831962	4.869204869	2.947439202	3.254376931	3.924436319
INTER	0.84222347	1.749111779	1.442918158	2.175817757	1.337167505	1.464968153	1.206272618	1.294787365	2.406668232	2.115521749	2.12481625	1.983193277	2.734757891	1.889168766	2.917683603	1.698964693	4.247604248	1.759497927	1.338825953	3.09567337
NK1	0.550252667	1.22984422	1.154334526	1.197429907	0.99209202	0.636942675	1.130880579	0.770175243	0.868748533	1.723318279	1.7105439	0.848739496	2.185845913	1.039042821	1.542045707	1.022033448	1.722351722	0.437072733	1.627188465	0.450944546
NK2	3.200449186	5.165345723	5.979452845	6.176985981	9.072609633	3.859872611	5.337756333	2.154258288	8.030054003	3.838840029	10.704263	2.12605042	9.409919624	4.644206549	7.388506767	6.304751792	3.574203574	3.810377676	1.369721936	7.495429616
NK3	7.175743964	1.762776715	4.478817961	22.95560748	6.671459382	5.261146497	3.513268999	9.320236634	0.575252407	8.687901117	10.93144461	11.4789916	1.529111939	20.29282116	11.04947859	7.711706929	3.15980316	8.304381934	3.676622039	10.54235222
CD4.Naive	21.63952835	9.387810877	17.43045134	6.512850467	15.37023724	12.94267516	11.02231604	13.58410537	13.20732566	10.98169717	9.528264065	9.008403361	9.409919624	4.95906801	9.25227424	15.84815503	2.93965294	15.93634428	17.5592173	10.35953687
CD4.Tcm	9.118472768	8.103306914	6.62588018	3.519275701	6.58519051	7.261146497	7.162243667	11.3963612	5.893402207	8.949370097	8.886810103	7.596638655	8.214075671	6.675062972	4.870201908	8.813379347	10.60606061	13.24666592	0.751802266	10.27422303
CD4.Tem	8.11903425	8.034982236	6.014082881	6.848714953	7.347232207	7.159235669	7.328106152	11.69773412	12.18595915	8.53339672	6.882266471	9.109243697	8.74338365	10.94143577	12.36964722	6.994956199	6.53975654	9.940602936	8.877445932	6.971358927
TREG	2.088714206	1.571467614	1.75458848	1.066004673	1.897915169	1.605095541	1.432448733	2.924433531	1.65531815	1.402424531	1.737271148	2.12605042	2.283865909	2.125314861	2.263146217	2.667905495	2.175602176	2.689678359	2.276004119	2.084095064
CD8.Naive	15.14879281	9.469800492	11.56643195	4.483060748	6.369518332	18.28025478	10.11761158	4.397812256	4.719417704	5.585928215	0.935453695	1.596638655	4.214859831	1.511335013	5.18082982	3.769577913	0.22015022	0.762075535	6.014418126	0.926264473
CD8.Tem	5.120718697	16.53457229	8.518988803	4.80432243	5.348670022	5.936305732	7.282870929	9.130483313	11.54026767	6.061326361	3.474542296	7.68907563	6.645755734	5.950881612	5.34723763	8.003716485	5.723905724	6.051776308	5.139031926	9.908592322
CD8.CTL	5.019651881	3.224924843	3.589980376	10.82067757	8.023005032	11.07006369	20.55186972	8.538899431	2.700164358	4.706441645	15.08753174	9.25210084	10.69398157	3.809823678	6.134901265	3.835943722	26.76767677	10.96043931	23.74871267	5.204143815
CD4-CD8-	2.919708029	2.364033889	6.129516334	6.308411215	3.191948239	0.904458599	2.623642943	1.004576404	3.134538624	1.616353696	1.643725778	2.764705882	3.136639875	0.330604534	0.510317284	0.039819485	1.528101528	1.232769248	3.872296601	0.975015235
CD4+CD8+	1.77428411	0.888220825	1.708415099	1.431074766	1.250898634	1.261146497	1.145958987	1.518026565	1.173984503	1.164725458	1.790725645	1.630252101	1.176239953	0.802896725	1.675171955	1.486594107	0.621600622	1.647427995	1.019567456	2.400975015
T-mito	0.145985401	0.286963651	0.323213667	0.481892523	0.388209921	0.25477707	0.286489747	0.223239201	0.316975816	0.39220347	0.721635708	0.621848739	0.431287983	0.393576826	0.909696028	0.331829042	0.595700596	0.224139863	0.370751802	0.475319927
